INSTNM,CITY,STABBR
Tribeca Flashpoint College,Chicago,IL
Hawaii Medical College,Honolulu,HI
Carolina College of Hair Design,Asheville,NC
Virginia College-Baton Rouge,Baton Rouge,LA
Remington College-Heathrow Campus,Heathrow,FL
College of Massage Therapy,Blackfoot,ID
Miller-Motte College-Jacksonville,Jacksonville,NC
Miller-Motte Technical College-Augusta,Augusta,GA
Miller-Motte Technical College-Conway,Conway,SC
Virginia College-Macon,Macon,GA
Virginia College-Spartanburg,Spartanburg,SC
Aveda Institute-Portland,Portland,OR
Chamberlain College of Nursing-Virginia,Arlington,VA
Stevens-Henager College,Boise,ID
Summit Salon Academy-Cincinnati,Cincinnati,OH
Penrose Academy,Scottsdale,AZ
Virginia College-Richmond,Richmond,VA
Skin Institute,Saint Louis,MO
Northwest Institute of Literary Arts,Langley,WA
Body Therapy Institute,Siler City,NC
Beauty Academy of South Florida,Hialeah Gardens,FL
Ogle School Hair Skin Nails-North Dallas,Dallas,TX
The Salon Professional Academy-North Little Rock,North Little Rock,AR
The Salon Professional Academy-St Charles,St. Charles,MO
American College for Medical Careers,Orlando,FL
Mildred Elley-New York Campus,New York,NY
National Paralegal College,Phoenix,AZ
Carolina College of Biblical Studies,Fayetteville,NC
Star Career Academy-Audubon,Audubon,PA
Allstate Hairstyling & Barber College,Cleveland,OH
Oxford Graduate School,Dayton,TN
Jung Tao School of Classical Chinese Medicine,Sugar Grove,NC
New York Film Academy,Burbank,CA
The Collective School Of Music,New York,NY
International College of Cosmetology,Oakland,CA
Bella Capelli Academy,Monroeville,PA
Institute of Medical Careers,Pittsburgh,PA
Toni & Guy Hairdressing Academy-Modesto,Modesto,CA
Georgia Christian University,Atlanta,GA
Flagler Technical Institute,Palm Coast,FL
Galaxy Medical College,North Hollywood,CA
American Medical Sciences Center,Glendale,CA
Mandalyn Academy,American Fork,UT
Jose Maria Vargas University,Pembroke Pines,FL
Laird Institute of Spa Therapy,Manchester,NH
D A Dorsey Technical College,Miami,FL
Keweenaw Bay Ojibwa Community College,Baraga,MI
Meridian Institute of Surgical Assisting,Nashville,TN
Mauna Loa Helicopters,Kailua Kona,HI
Acaydia School of Aesthetics,Provo,UT
Manhattan Institute,New York,NY
Cosmetic Arts Institute,Walterboro,SC
Holistic Massage Training Institute,Baltimore,MD
Diamonds Cosmetology College,Sherman,TX
Tramy Beauty School,San Diego,CA
Northern Virginia School of Therapeutic Massage,Falls Church,VA
Paul Mitchell the School-St Louis,St. Louis,MO
Advanced Training Institute,Las Vegas,NV
Cosmopolitan Beauty and Tech School,Annandale,VA
Salon 496 Barber Academy,Greenville,SC
Shepherds Theological Seminary,Cary,NC
Taylor Andrews Academy of Hair Design-West Jordan,West Jordan,UT
Santa Ana Beauty Academy,Santa Ana,CA
Grace College of Divinity,Fayetteville,NC
Cosmetology College of Franklin County,Saint Clair,MO
Rochester School of Hair Design,Rochester,MN
Aveda Institute-New Mexico,Albuquerque,NM
Nashville Barber and Style Academy,Madison,TN
American Trade School,Saint Ann,MO
Estelle Skin Care and Spa Institute,Skokie,IL
Paul Mitchell the School-Honolulu,Honolulu,HI
Elite Cosmetology School,Yucca Valley,CA
American Technical Institute,Bayamon,PR
Bergin University of Canine Studies,Rohnert Park,CA
Aveda Institute-Boise,Boise,ID
American Health Institute,Port Richey,FL
Pima Medical Institute-Aurora,Aurora,CO
Real Barbers College,Anaheim,CA
Capilo School of Hair Design,Augusta,ME
Pure Aesthetics,Tucson,AZ
Lindsey Institute of Cosmetology,Bowling Green,KY
The Salon Professional Academy-Iowa City,Iowa City,IA
Buckner Barber School,Dallas,TX
Simmons College of Kentucky,Louisville,KY
Atelier Esthetique Institute of Esthetics,New York,NY
Ashdown College of Health Sciences,Redlands,CA
Advanced College of Cosmetology,Waupun,WI
North American University,Houston,TX
Entourage Institute of Beauty and Esthetics,Lenexa,KS
United Beauty College,Denver,CO
Cinta Aveda Institute,San Francisco,CA
Long Island Nail & Skin Care Institute,Levittown,NY
Mesivta Keser Torah,Lakewood,NJ
Southern California Health Institute,North Hollywood,CA
Best Care Training Institute,East Orange,NJ
First Class Cosmetology School,Beloit,WI
Millennia Atlantic University,Doral,FL
Abcott Institute,Southfield,MI
The Salon Professional Academy-Kenosha,Kenosha,WI
Paul Mitchell the School-Indianapolis,Indianapolis,IN
Taylor Andrews Academy-St George,St. George,UT
Seymour Beauty Academy,Seymour,MO
Protege Academy,East Lansing,MI
Colorado Academy of Veterinary Technology,Colorado Springs,CO
Northeast Technical Institute,Scarborough,ME
Salinas Beauty College Inc,Salinas,CA
Academy for Salon Professionals,Santa Clara,CA
Elite School of Cosmetology,Norwalk,OH
Paul Mitchell the School-Las Vegas,Las Vegas,NV
The Salon Professional Academy-Kokomo,Kokomo,IN
Hair Academy,Montgomery,AL
Florida Academy,Fort Myers,FL
Institute for Doctoral Studies in the Visual Arts,Portland,ME
State Career College,Waukegan,IL
Academy for Salon Professionals,Canoga Park,CA
Paul Mitchell The School-Spokane,Spokane Valley,WA
J Renee College,Elgin,IL
National Personal Training Institute of Colorado,Lakewood,CO
National Personal Training Institute of Colorado,Colorado Springs,CO
International College of Beauty Arts & Sciences,Los Angeles,CA
The Salon Professional Academy-Shorewood,Shorewood,IL
John Paul the Great Catholic University,Escondido,CA
ITT Technical Institute-Durham,Durham,NC
ITT Technical Institute-Hanover,Hanover,MD
University of Phoenix-Mississippi,Flowood,MS
Independence University,Salt Lake City,UT
National American University-Tulsa,Tulsa,OK
National American University-Centennial,Centennial,CO
National American University-Lee's Summit,Lee's Summit,MO
National American University-Colorado Springs South,Colorado Springs,CO
Globe University-Appleton,Grand Chute,WI
Salter College-Chicopee,Chicopee,MA
Chamberlain College of Nursing-Missouri,St. Louis,MO
Chamberlain College of Nursing-Texas,Houston,TX
ITT Technical Institute-Oakland,Oakland,CA
Continental School of Beauty Culture-Mattydale,Mattydale,NY
Everest College-Bedford Park,Bedford Park,IL
Fortis College-Akron,Akron,OH
Carrington College-Pomona,Pomona,CA
Regency Beauty Institute-Copperwood,Houston,TX
Regency Beauty Institute-Little Rock,Little Rock,AR
Regency Beauty Institute-Baltimore Golden Ring,Baltimore,MD
Regency Beauty Institute-El Paso,El Paso,TX
Regency Beauty Institute-Jacksonville Regency,Jacksonville,FL
Regency Beauty Institute-Knoxville,Knoxville,TN
Regency Beauty Institute-Fayetteville,Fayetteville,AR
Regency Beauty Institute-Lansing,Lansing,MI
Regency Beauty Institute-Jacksonville Orange Park,Orange Park,FL
Regency Beauty Institute-Crystal Lake,Crystal Lake,IL
Regency Beauty Institute-Manassas,Manassas,VA
Regency Beauty Institute-Castleton,Indianapolis,IN
Regency Beauty Institute-North Nashville,Madison,TN
Regency Beauty Institute-Round Rock,Round Rock,TX
Regency Beauty Institute-Merrillville,Merrillville,IN
Regency Beauty Institute-Roanoke,Roanoke,VA
Regency Beauty Institute-Toledo,Holland,OH
Regency Beauty Institute-SW Houston,Houston,TX
Everest College-Atlanta West,Atlanta,GA
Broadview University-Boise,Meridian,ID
Advanced Institute of Hair Design-Madison,Madison,WI
Paul Mitchell The School-Columbia,Columbia,SC
Paul Mitchell The School-Charleston,North Charleston,SC
Everest College-Melrose Park,Melrose Park,IL
Kenneth Shuler School of Cosmetology-Greenville,Greenville,SC
South University-Accelerated Graduate Programs,Atlanta,GA
South University-The Art Institute of Fort Worth,Fort Worth,TX
South University-Novi,Novi,MI
Northwest College-Eugene,Eugene,OR
Northwest College-Tualatin,Tualatin,OR
Harrison College-Morrisville,Morrisville,NC
Trend Setters' Academy of Beauty Culture-Louisville,Louisville,KY
National University College-Caguas,Caguas,PR
Beauty Schools of America,Miami Beach,FL
CET-Soledad,Soledad,CA
MarJon School of Beauty ltd-Lockport,Lockport,NY
Houston Training Schools-Southwest,Houston,TX
Vanguard College of Cosmetology-Metairie,Metairie,LA
New England Tractor Trailer Training School of Massachusetts,North Andover,MA
Heritage College-Columbus,Columbus,OH
Utah College of Massage Therapy-Vegas,Las Vegas,NV
Utah College of Massage Therapy-Tempe,Tempe,AZ
Utah College of Massage Therapy-Phoenix,Phoenix,AZ
Utah College of Massage Therapy-Westminster,Westminster,CO
Utah College of Massage Therapy-Aurora,Aurora,CO
Tint School of Makeup and Cosmetology-Grand Prairie,Grand Prairie,TX
Dewey University-Hatillo,Hatillo,PR
Dewey University-Manati,Manati,PR
Baltimore School of Massage-York,York,PA
Allen School-Phoenix,Phoenix,AZ
Oklahoma Technical College,Tulsa,OK
Midwest Technical Institute-Moline,Moline,IL
Star Career Academy-Clifton,Clifton,NJ
Unitech Training Academy-Alexandria,Alexandria,LA
Unitech Training Academy-Lake Charles,Lake Charles,LA
Aveda Institute-Los Angeles,Los Angeles,CA
Buchanan Beauty College of Tullahoma,Tullahoma,TN
WellSpring School of Allied Health-Lawrence,Lawrence,KS
The Art Institute of Wisconsin,Milwaukee,WI
Brown Mackie College-Birmingham,Birmingham,AL
Regina's College of Beauty,Augusta,GA
Manuel and Theresa's School of Hair Design-Victoria,Victoria,TX
Coast Career Institute,Colton,CA
Tricoci University of Beauty Culture-Chicago NE,Chicago,IL
ITT Technical Institute-Bradenton,Bradenton,FL
ITT Technical Institute-Phoenix West,Phoenix,AZ
ITT Technical Institute-Brooklyn Center,Brooklyn Center,MN
ITT Technical Institute-Orlando,Lake Mary,FL
ITT Technical Institute-Waco,Waco,TX
ITT Technical Institute-Myrtle Beach,Myrtle Beach,SC
Azusa Pacific University College,San Dimas,CA
Minneapolis Media Institute,Edina,MN
CollegeAmerica-Phoenix,Phoenix,AZ
Stevens-Henager College,Idaho Falls,ID
Avalon School of Cosmetology-Phoenix,Phoenix,AZ
Avalon School of Cosmetology-Layton,Layton,UT
Hair Design Institute,Boynton Beach,FL
Hair Design Institute,Apopka,FL
All-State Career School-Allied Health Campus,Essington,PA
Aveda Institute-Des Moines,West Des Moines,IA
Fortis Institute-Lawrenceville,Lawrenceville,NJ
Relay Graduate School of Education,New York,NY
Brown Mackie College-Oklahoma City,Oklahoma City,OK
Miller-Motte Technical College-Macon,Macon,GA
Miller-Motte Technical College-Gulfport,Gulfport,MS
International Culinary Center-California,Campbell,CA
South University–Savannah Online,Savannah,GA
Fortis College-Montgomery,Montgomery,AL
Miller-Motte Technical College-Roanoke,Roanoke,VA
Whitworth University-Adult Degree Programs,Spokane,WA
American Broadcasting School-Online Program,Oklahoma City,OK
Springfield College-School of Professional and Continuing Studies,Springfield,MA
Marian Health Careers Center-Van Nuys Campus,Van Nuys,CA
Sanford-Brown College-Brooklyn Center,Brooklyn Center,MN
Milan Institute-Las Vegas,Las Vegas,NV
Virginia College-Savannah,Savannah,GA
Virginia College-Columbus,Columbus,GA
Donna's Academy of Hair Design,Smithville,MO
New York School of Esthetics & Day Spa,Tarrytown,NY
Panache Academy of Beauty,Baraboo,WI
ASI Career Institute,Turnersville,NJ
Midwest Technical Institute-Ridgeland,Ridgeland,MS
Christine Valmy International School of Esthetics & Cosmetology,Pine Brook,NJ
City College-Hollywood,Hollywood,FL
Paul Mitchell the School-Arlington,Arlington,TX
Rocky Mountain University of Health Professions,Provo,UT
MediaTech Institute-Oceanside,Oceanside,CA
Christie's Education,New York,NY
Prince Institute-Great Lakes,Elmhurst,IL
Palmetto Beauty School,Spartanburg,SC
Paul Mitchell the School-Fort Myers,Fort Myers,FL
Paul Mitchell The School-Raleigh,Raleigh,NC
Stella and Charles Guttman Community College,New York,NY
Lil Lou's Barber College,Gary,IN
Bryan University,Columbia,MO
Virginia College-Tulsa,Tulsa,OK
Criswell College,Dallas,TX
Virginia College-Knoxville,Knoxville,TN
Columbia Academy of Cosmetology,West Columbia,SC
Academy of Couture Art,Beverly Hills,CA
Global Institute,Caguas,PR
Reflections Academy of Beauty,Decatur,IL
University of Cosmetology Arts & Sciences-La Joya,La Joya,TX
Preferred College of Nursing-Van Nuys,Van Nuys,CA
Bryant & Stratton College-Akron,Copley,OH
Annenberg School of Nursing,Reseda,CA
American Medical Academy,Miami,FL
Chamberlain College of Nursing-Georgia,Atlanta,GA
Chamberlain College of Nursing-Indiana,Indianapolis,IN
Carrington College-Mesquite,Mesquite,TX
Sessions College for Professional Design,Tempe,AZ
Virginia College-Shreveport Bossier City,Bossier City,LA
Tulsa Welding School-Jacksonville,Jacksonville,FL
Regency Beauty Institute-Hoover,Hoover,AL
Regency Beauty Institute-San Antonio,San Antonio,TX
Regency Beauty Institute-Carrollwood,Tampa,FL
Regency Beauty Institute-Clearwater,Clearwater,FL
Regency Beauty Institute-Newport News,Newport News,VA
Regency Beauty Institute-Lewisville,Lewisville,TX
Regency Beauty Institute-Dallas,Dallas,TX
Regency Beauty Institute-Plano,Plano,TX
Empire Beauty School-Virginia Beach,Virginia Beach,VA
Ross Medical Education Center-Morgantown,Morgantown,WV
Paul Mitchell the School-Ogden,Ogden,UT
Everest Institute-Bensalem,Bensalem,PA
Golf Academy of America-Farmers Branch,Farmers Branch,TX
Utah College of Massage Therapy-Dallas,Richardson,TX
Miami Ad School-New York,Astoria,NY
Dade Medical College-West Palm Beach,West Palm Beach,FL
Dade Medical College-Jacksonville,Jacksonville,FL
WestMed College,San Jose,CA
Larry's Barber College,Chicago,IL
Futura Career Institute,Hialeah,FL
Access Careers,Brooklyn,NY
Flair Beauty College,Canyon Country,CA
Eternity Cosmetology School,West Palm Beach,FL
Tri-State Institute of Hair Design,London,KY
Vogue College of Cosmetology-San Antonio Fredericksburg,San Antonio,TX
Vogue College of Cosmetology,San Antonio,TX
Tomorrow's Image Barber Academy of Virginia,Newport News,VA
Excel Learning Center,El Paso,TX
College of International Esthetics Inc,Arvada,CO
Medical Allied Career Center,Santa Fe Springs,CA
Bais HaMedrash and Mesivta of Baltimore,Baltimore,MD
Long Island Barber Institute,Hempstead,NY
Salon Institute-Toledo Campus,Toledo,OH
American Institute of Medical Sonography,Las Vegas,NV
Curve Metric School of Hair Design,Elmwood Park,IL
Athena Career Academy,Toledo,OH
Yeshiva Gedolah Zichron Leyma,Linden,NJ
The Barber School,Midvale,UT
Be'er Yaakov Talmudic Seminary,Spring Valley,NY
RGV Careers,Pharr,TX
Alexander Academy,Fitchburg,MA
LeMelange Academy of Hair,Napa,CA
Aveda Institute-Tucson,Tucson,AZ
Velvet Touch Academy of Cosmetology,Nampa,ID
Ambiance Beauty & Barber Academy Inc,Melbourne,FL
Diamond Beauty College,South El Monte,CA
Unitek College,South San Francisco,CA
University Academy of Hair Design,Northport,AL
Florida Institute of Recording Sound and Technology,Orlando,FL
New Dimensions Beauty Academy Inc,Parker,CO
Jolei's Hair Institute,LAKE CITY,SC
Paul Mitchell the School-Reno,Reno,NV
Boise Barber College,Boise,ID
Austin Kade Academy,Idaho Falls,ID
Aesthetic Science Institute,Latham,NY
Elaine Sterling Institute,Sandy Springs,GA
Wade Gordon Hairdressing Academy,Amarillo,TX
Mitsu Sato Hair Academy,Overland Park,KS
SAE Institute of Technology-Los Angeles,Los Angeles,CA
Florida Vocational Institute,Miami,FL
SAE Institute of Technology-Atlanta,Atlanta,GA
Academy di Firenze,Jerome,ID
SAE Institute of Technology-Miami,North Miami Beach,FL
Colorado State University-Global Campus,Greenwood Village,CO
Paul Mitchell the School-Overland Park,Overland Park,KS
Medspa Academies,South Jordan,UT
Brighton Institute of Cosmetology,Brighton,MI
West Coast University-Dallas,Dallas,TX
Stevens-Henager College,St. George,UT
National American University-Bellevue,Bellevue,NE
National American University-Burnsville,Burnsville,MN
National American University-Mesquite,Mesquite,TX
Empire Beauty School-Savannah,Savannah,GA
Ogle School Hair Skin Nails-Denton,Denton,TX
Empire Beauty School-West Greensboro,Greensboro,NC
California College San Diego,San Marcos,CA
Old Town Barber College-Topeka,Topeka,KS
Jolie Hair and Beauty Academy-Northfield,Northfield,NJ
Hays Academy of Hair Design,Salina,KS
Bellus Academy,Manhattan,KS
Cortiva Institute-Seattle,Federal Way,WA
MotoRing Technical Training Institute,East Providence,RI
Leon Studio One School of Hair Design & Career Training Center,North Tonawanda,NY
Columbia College,Centreville,VA
Unitek College,Hayward,CA
ITT Technical Institute-Philadelphia,Philadelphia,PA
ITT Technical Institute-Marlton,Marlton,NJ
ITT Technical Institute-Germantown,Greenfield,WI
ITT Technical Institute-Southfield,Troy,MI
ITT Technical Institute-West Palm Beach,West Palm Beach,FL
ITT Technical Institute-Salem,Salem,OR
ITT Technical Institute-Deerfield Beach,Fort Lauderdale,FL
ITT Technical Institute-Indianapolis East,Indianapolis,IN
ITT Technical Institute-Douglasville,Douglasville,GA
ITT Technical Institute-Overland Park,Overland Park,KS
ITT Technical Institute-Springfield,Springfield,IL
ITT Technical Institute-West Chester,Norwood,OH
Pennsylvania State University-World Campus,University Park,PA
Medical Career Institute,Ocean,NJ
Advance Beauty Techs Academy,San Jacinto,CA
Montage Academy,Longmont,CO
Brand College,Glendale,CA
Hinton Barber and Beauty College,Vallejo,CA
Advanced Career Institute,Visalia,CA
Digital Film Academy,New York,NY
MyComputerCareer.com-Raleigh,Raleigh,NC
Kaplan University-Augusta Campus,Augusta,ME
South University-Austin,Austin,TX
South University-Cleveland,Cleveland,OH
Bryant & Stratton College-Online,Orchard Park,NY
Virginia College-Florence,Florence,SC
Ogle School Hair Skin Nails-San Antonio,San Antonio,TX
Elizabethtown College School of Continuing and Professional Studies,Elizabethtown,PA
Fortis College-Cutler Bay,Cutler Bay,FL
Ideal Beauty Academy,Louisville,KY
Minnesota School of Cosmetology-Plymouth Campus,Plymouth,MN
Mercyhurst University-North East Campus,North East,PA
Warner Pacific College Adult Degree Program,Portland,OR
Platt College-Riverside,Riverside,CA
Savannah Law School,Savannah,GA
Empire Beauty School-Glen Burnie,Glen Burnie,MD
Everest College-Woodbridge,Woodbridge,VA
Everest College-Kansas City,Kansas City,MO
International School of Cosmetology-Toni & Guy Hairdressing Academy,Scottsdale,AZ
InterCoast Career Institute-Salem,Salem,NH
American National University-Canton,Canton,OH
Vatterott College-Fairview Heights,Fairview Heights,IL
Ross Medical Education Center-Dayton,Dayton,OH
Ross Medical Education Center-Ontario,Ontario,OH
Ross Medical Education Center-Bowling Green,Bowling Green,KY
Florida Institute of Technology-Online,Melbourne,FL
Rasmussen College-Kansas,Topeka,KS
Columbia Institute,Silver Spring,MD
School of Missionary Aviation Technology,Ionia,MI
Ace Cosmetology and Barber Training Center,Wolcott,CT
Manthano Christian College,Westland,MI
California Miramar University,San Diego,CA
Rocky Vista University,Parker,CO
Virginia College-Greensboro,Greensboro,NC
The College of Health Care Professions-Dallas,Dallas,TX
The College of Health Care Professions-Fort Worth,Fort Worth,TX
Shear Finesse Hairstyling Academy,Jacksonville,FL
Academy of Salon Professionals,Sedalia,MO
CyberTex Institute of Technology,Austin,TX
UEI College-Santa Cruz,Santa Cruz,CA
New England Tractor Trailer Training School of CT-Bridgeport,Bridgeport,CT
Gemini School of Visual Arts & Communication,Cedar Park,TX
Designer Barber & Stylist School,Ft Smith,AR
Paul Mitchell the School-Woodbridge,Woodbridge,VA
College of the Muscogee Nation,Okmulgee,OK
The Salon Professional Academy-Huntsville,Huntsville,AL
Midwives College of Utah,Salt Lake City,UT
Aspen Beauty Academy of Laurel,Laurel,MD
M T Training Center,Grand Prairie,TX
Berks Career & Technology Center,Leesport,PA
Future Generations Graduate School,Franklin,WV
Carthage R9 School District-Carthage Technical Center,Carthage,MO
Grace Mission University,Fullerton,CA
PCCTI IT and Healthcare,Oak Brook,IL
Sotheby's Institute of Art-NY,New York,NY
Top Nails & Hair Beauty School,Taylorsville,UT
Radians College,Washington,DC
Santa Ana Beauty College,Santa Ana,CA
Shepherds College,Union Grove,WI
Woodruff Medical Training and Testing,Tucker,GA
Helms College,Macon,GA
American Academy of Personal Training,New York,NY
Ukiah Adult School,Ukiah,CA
Riverside County Office of Education,Riverside,CA
Institute of Health Sciences,Hunt Valley,MD
Mid-South Christian College,Memphis,TN
Advanced Computing Institute,Los Angeles,CA
New York Institute of Beauty,Islandia,NY
Ultrasound Medical Institute,Royal Palm Beach,FL
Beautiful You School of Nail Technology,Cedar City,UT
Harmon's Beauty School,Landover,MD
Xavier College School of Nursing,Stockton,CA
Lawrence & Company College of Cosmetology,Hanford,CA
Cactus Academy,Garden City,NY
Kaizen Beauty Academy,Pembroke Pines,FL
Southern Texas Careers Academy,McAllen,TX
Sharp Edgez Barber Institute,Rochester,NY
The Salon Professional Academy-Nashville,Nashville,TN
Cosmotech School of Cosmetology,Westbrook,ME
Prestige Health & Beauty Sciences Academy,North Miami Beach,FL
Grace College of Barbering,Greenville,NC
California Career Institute,Garden Grove,CA
Cosmo Factory Cosmetology Academy,Santa Cruz,CA
Grace School of Theology,Conroe,TX
Yeshiva Gedolah Kesser Torah,Monsey,NY
Universal Training Institute,Perth Amboy,NJ
Yeshiva Yesodei Hatorah,Lakewood,NJ
Rizzieri Institute,Voorhees,NJ
Bonnie Joseph Academy of Cosmetology and Barbering,Heber City,UT
Healthcare Training Institute,Kenner,LA
W Academy of Salon and Spa,Danville,CA
Boca Beauty Academy,Boca Raton,FL
United Medical and Business Institute,East Point,GA
Paul Mitchell the School-Jersey Shore,Brick,NJ
City Pointe Beauty Academy,Webb City,MO
The Chrysm Insitute of Esthetics,Virginia Beach,VA
National Personal Training Institute of Columbus,Columbus,OH
Bly's School of Cosmetology,Gainesville,FL
Toni & Guy Hairdressing Academy-Manteca,Manteca,CA
Belle Academy of Cosmetology,Waterbury,CT
Dorsey Business Schools-Lansing,Lansing,MI
ITT Technical Institute-Pensacola,Pensacola,FL
ITT Technical Institute-San Antonio East,San Antonio,TX
MedTech Institute-Orlando Campus,Orlando,FL
Tulsa Welding School-Tulsa,Tulsa,OK
Empire Beauty School-Augusta,Augusta,GA
South University-High Point,High Point,NC
Empire Beauty School-Vernon Hills,Vernon Hills,IL
Empire Beauty School-Stone Park,Stone Park,IL
Court Reporting Institute of St Louis,Clayton,MO
Ohio Business College-Dayton,Dayton,OH
Empire Beauty School-Rochester,Rochester,NY
American Career College-Long Beach,Long Beach,CA
Ross Medical Education Center-Kokomo,Kokomo,IN
Ross Medical Education Center-Erlanger,Erlanger,KY
Ross Medical Education Center-Charleston,Charleston,WV
L'Ecole Culinaire-Kansas City,Kansas City,MO
Utah College of Massage Therapy-Houston,Houston,TX
InterCoast Colleges-Fairfield,Fairfield,CA
Vatterott College-ex'treme Institute by Nelly-St Louis,St. Louis,MO
Southern Careers Institute-San Antonio,San Antonio,TX
College of Business and Technology-Miami Gardens,Miami Gardens,FL
Milan Institute of Cosmetology-Nampa,Nampa,ID
Milan Institute-Merced,Merced,CA
Midwest Technical Institute-Springfield,Springfield,MO
Finger Lakes School of Massage,Frederick,MD
Augusta University,Augusta,GA
Middle Georgia State University,Macon,GA
Trenz Beauty Academy,Calumet,IL
Paul Mitchell the School-Denver,Lakewood,CO
Academy of Interactive Entertainment,Seattle,WA
Arrojo Cosmetology School,New York,NY
Cosmetology Academy of Texarkana,Texarkana,TX
Virginia Baptist College,Fredericksburg,VA
Lynnes Welding Training,Fargo,ND
Aviation Institute of Maintenance-Las Vegas,Las Vegas,NV
Tulsa Technology Center-Owasso Campus,Owasso,OK
Tulsa Technology Center-Sand Springs Campus,Sand Springs,OK
National American University-Austin South,Austin,TX
National American University-Lewisville,Lewisville,TX
National American University-Georgetown,Georgetown,TX
National American University-Richardson,Richardson,TX
National American University-Rochester,Rochester,MN
National American University-Weldon Spring,Weldon Spring,MO
National American University-Wichita West,Wichita,KS
National American University-Indianapolis,Indianapolis,IN
National American University-Tigard,Tigard,OR
The Art Institute of St Louis,St Charles,MO
DeVry College of New York,New York,NY
DeVry University-Arizona,Phoenix,AZ
DeVry University-California,Pomona,CA
DeVry University-Colorado,Westminster,CO
DeVry University-Florida,Miramar,FL
DeVry University-Georgia,Decatur,GA
DeVry University-Illinois,Chicago,IL
DeVry University-Indiana,Merrillville,IN
DeVry University-Maryland,Bethesda,MD
DeVry University-Michigan,Southfield,MI
DeVry University-Minnesota,Edina,MN
DeVry University-Missouri,Kansas City,MO
DeVry University-Nevada,Henderson,NV
DeVry University-New Jersey,North Brunswick,NJ
DeVry University-North Carolina,Charlotte,NC
DeVry University-Ohio,Columbus,OH
DeVry University-Oklahoma,Oklahoma City,OK
DeVry University-Oregon,Portland,OR
DeVry University-Pennsylvania,Fort Washington,PA
DeVry University-Tennessee,Nashville,TN
DeVry University-Texas,Irving,TX
DeVry University-Utah,Sandy,UT
DeVry University-Virginia,Arlington,VA
DeVry University-Washington,Federal Way,WA
DeVry University-Wisconsin,Milwaukee,WI
University of North Georgia,Dahlonega,GA
South Georgia State College,Douglas,GA
Northeastern University Global Network,Boston,MA
Brown Mackie College-Dallas,Bedford,TX
American Institute-Toms River,Toms River,NJ
Alamo City Barber College,San Antonio,TX
Arizona College-Mesa,Mesa,AZ
American College of Healthcare,Huntington Park,CA
Central Georgia Technical College,Warner Robins,GA
Barber School of Pittsburgh,Pittsburgh,PA
The Salon Professional Academy-South Plainfield,South Plainfield,NJ
Arizona State University-Skysong,Scottsdale,AZ
Louisiana Delta Community College,Monroe,LA
Fab School,Rancho Cucamonga,CA
Networks Barber College,Calumet City,IL
JB's Hair Design and Barber College,Oklahoma City,OK
Graduate School USA,Washington,DC
Virginia College-Lubbock,Lubbock,TX
Paul Mitchell the School-Lombard,Lombard,IL
Paul Mitchell the School-Greenville,Greenville,SC
Divine Crown Academy of Cosmetology,Harrisburg,PA
Delta College of Arts & Technology-Lafayette Campus,Lafayette,LA
Delta College-Slidell Campus,Slidell,LA
Integrity College of Health,Pasadena,CA
Electrical Training Center,Copiague,NY
Alexander Paul Institute of Hair Design,Greenville,NC
Computer Training Academy,Riverside,CA
More Tech Institute,Hialeah,FL
Dorsey Business Schools-Dearborn,Detroit,MI
NeeCee's College of Cosmetology,Abilene,TX
Ridley-Lowell Business & Technical Institute,West Warwick,RI
Sutter Beauty College,Yuba City,CA
Midwest Technical Institute,Brownsburg,IN
New Horizons Medical Institute,Norcross,GA
Ohio Institute of Allied Health,Huber Heights,OH
Paul Mitchell the School-Ardmore,Ardmore,OK
Beauty and Health Institute,Tampa,FL
School for Allied Health Professionals,Arlington,TX
Cosmix School of Makeup Artistry,Oakland Park,FL
Access Careers,Hempstead,NY
River Valley Cosmetology Institute,Poteau,OK
Luckes Beauty Academy,Newport  News,VA
Total Transformation Institute of Cosmetology,San Marcos,TX
Vibe Barber College,Memphis,TN
Champ's Barber School,Lancaster,PA
Azure College,Miami Gardens,FL
Nunation School of Cosmetology,Birmingham,AL
IGlobal University,Annandale,VA
East-West Healing Arts Institute,Madison,WI
National Personal Training Institute,Vienna,VA
Standard Healthcare Services-College of Nursing,Falls Church,VA
Philadelphia Technician Training,Philadelphia,PA
Grace International Beauty School,Flushing,NY
Alliance Computing Solutions,Flushing,NY
InterAmerican Technical Institute,Miami,FL
Bay Area Medical Academy,San Francisco,CA
Mind Body Institute,Nashville,TN
Parisian Spa Institute,Jacksonville,FL
Yechanlaz Instituto Vocacional,Miami,FL
Creative Touch Cosmetology School,Waterloo,IL
LaBarberia Institute of Hair,Mayfield Hts,OH
Setting the Standard Barbering and Natural Hair Academy,Shreveport,LA
Bos-Man's Barber College,Shreveport,LA
Lawrence & Company College of Cosmetology,Selma,CA
Healthcare Preparatory Institute,Las Vegas,NV
Alabama College of Osteopathic Medicine,Dothan,AL
Morthland College,West Frankfort,IL
High Desert Medical College,Lancaster,CA
Paul Mitchell the School-Schenectady,Schenectady,NY
Beyond Measure Barbering Institute,Mebane,NC
Beauty Anatomy Institute of Cosmetology and Wellness,Pompano Beach,FL
Barber Institute of Texas,Longview,TX
Jupiter Beauty Academy,Boston,MA
MedQuest College,Louisville,KY
First Coast Barber Academy,Jacksonville,FL
Debutantes School of Cosmetology and Nail Technology,Dekalb,IL
